,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
27,27,2001-05-27,2001.0,5.0,21.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,11.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,3
26,26,2001-05-26,2001.0,5.0,21.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,8.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,11.0,11.0,8.0,4
27,27,2001-05-27,2001.0,5.0,21.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,11.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,4
28,28,2001-05-28,2001.0,5.0,22.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,15.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,16.0,3.0,7.0,4
29,29,2001-05-29,2001.0,5.0,22.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,10.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,9.0,11.0,6.0,4
30,30,2001-05-30,2001.0,5.0,22.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,14.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,15.0,6.0,7.0,4
31,31,2001-05-31,2001.0,5.0,22.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,13.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,16.0,8.0,7.0,4
32,32,2002-05-01,2002.0,5.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,14.0,0.0,-0.0,10.0,7.0,0.0,0.0,-0.0,-0.0,6.0,10.0,7.0,5
33,33,2002-05-02,2002.0,5.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760188,11.0,0.0,0.0,6.0,6.0,0.0,0.0,-0.0,0.0,12.0,10.0,8.0,5
34,34,2002-05-03,2002.0,5.0,18.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,9.0,0.0,-0.0,5.0,6.0,0.0,0.0,-0.0,0.0,11.0,10.0,7.0,5
35,35,2002-05-04,2002.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,-0.0,0.0,8.0,5.0,-0.0,0.0,0.0,0.0,10.0,17.0,6.0,5
36,36,2002-05-05,2002.0,5.0,18.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,0.0,-0.0,7.0,3.0,0.0,0.0,0.0,-0.0,10.0,16.0,7.0,5
35,35,2002-05-04,2002.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,-0.0,0.0,8.0,5.0,-0.0,0.0,0.0,0.0,10.0,17.0,6.0,6
36,36,2002-05-05,2002.0,5.0,18.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,0.0,-0.0,7.0,3.0,0.0,0.0,0.0,-0.0,10.0,16.0,7.0,6
37,37,2002-05-06,2002.0,5.0,19.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,11.0,0.0,-0.0,5.0,7.0,-0.0,0.0,0.0,0.0,4.0,18.0,6.0,6
38,38,2002-05-07,2002.0,5.0,19.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,14.0,0.0,0.0,7.0,8.0,-0.0,0.0,-0.0,0.0,12.0,19.0,7.0,6
