,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
77,2000-02-01,Clear,0.48780487804878053,0.0,0.0,0.8750000000000002,0.2686567164179108,0.0,0.0,16.0,0.0,0.0,0.016666666666666666,0.0,2000.0,2.0,5.0,1.0,15.0,0.0,0.0,1.0,0.0,3.0
79,2000-02-02,Haze,0.5121951219512195,0.0,0.0,0.8229166666666669,0.29850746268656714,0.0,0.0,18.0,0.0,0.0,0.05,0.2,2000.0,2.0,5.0,2.0,13.0,0.0,0.0,1.0,0.0,3.0
83,2000-02-03,Haze,0.47154471544715454,0.0,0.0,0.684027777777778,0.30597014925373145,0.0,0.0,19.0,0.0,0.0,0.06388888888888888,0.20090090090090093,2000.0,2.0,5.0,3.0,13.0,0.0,0.0,1.0,0.0,4.0
86,2000-02-04,Haze,0.4634146341463415,0.0,0.0,0.5833333333333335,0.25373134328358216,0.0,0.0,21.0,0.0,0.0,0.058333333333333334,0.3756756756756757,2000.0,2.0,5.0,4.0,10.5,0.0,0.0,1.0,0.0,4.0
91,2000-02-05,Haze,0.39837398373983746,0.0,0.0,0.795138888888889,0.27114427860696555,0.0,0.0,13.666666666666666,0.0,0.0,0.05000000000000001,0.4837837837837838,2000.0,2.0,5.0,5.0,11.0,0.0,0.0,1.0,0.0,2.0
93,2000-02-06,Clear,0.41463414634146345,0.0,0.0,0.8125000000000002,0.30597014925373145,0.0,0.0,14.0,0.0,0.0,0.03333333333333333,0.2513513513513514,2000.0,2.0,5.0,6.0,15.0,0.0,0.0,1.0,0.0,2.0
96,2000-02-07,Haze,0.4390243902439025,0.0,0.0,0.7604166666666669,0.3022388059701493,0.0,0.0,16.0,0.0,0.0,0.07083333333333333,0.3,2000.0,2.0,6.0,7.0,10.5,0.0,0.0,1.0,0.0,3.0
99,2000-02-08,Fog,0.4390243902439025,1.0,0.0,1.0,0.30597014925373145,0.0,0.0,12.0,0.0,0.0,0.006666666666666667,0.0,2000.0,2.0,6.0,8.0,15.0,0.0,0.0,1.0,0.0,1.0
103,2000-02-09,Haze,0.39634146341463417,0.0,0.0,0.5807291666666667,0.2910447761194035,0.0,0.0,18.25,0.0,0.0,0.05208333333333333,0.1,2000.0,2.0,6.0,9.0,12.0,0.0,0.0,1.0,0.0,3.0
105,2000-02-10,Light Rain,0.48780487804878053,0.0,0.0,0.9166666666666669,0.27860696517412986,1.0,0.0,15.333333333333334,0.0,0.0,0.030000000000000002,0.06666666666666667,2000.0,2.0,6.0,10.0,13.0,0.0,0.0,1.0,0.0,2.0
107,2000-02-11,Haze,0.426829268292683,0.0,0.0,0.8125000000000002,0.2761194029850751,0.0,0.0,14.5,0.0,0.0,0.039999999999999994,0.0,2000.0,2.0,6.0,11.0,12.0,0.0,0.0,1.0,0.0,2.0
110,2000-02-12,Clear,0.34146341463414637,0.0,0.0,0.5312500000000001,0.31343283582089576,0.0,0.0,17.0,0.0,0.0,0.075,0.35135135135135137,2000.0,2.0,6.0,12.0,10.0,0.0,0.0,1.0,0.0,3.0
113,2000-02-13,Haze,0.3658536585365854,0.0,0.0,0.7430555555555558,0.3208955223880601,0.0,0.0,13.333333333333334,0.0,0.0,0.05722222222222222,0.20090090090090093,2000.0,2.0,6.0,13.0,14.0,0.0,0.0,1.0,0.0,2.0
115,2000-02-14,Haze,0.34146341463414637,0.0,0.0,0.5590277777777779,0.32213930348258746,0.0,0.0,16.666666666666668,0.0,0.0,0.06444444444444444,0.209009009009009,2000.0,2.0,7.0,14.0,12.5,0.0,0.0,1.0,0.0,3.0
116,2000-02-15,Haze,0.4,0.0,0.0,0.5895833333333333,0.30149253731343284,0.0,0.0,18.4,0.0,0.0,0.05366666666666666,0.12054054054054056,2000.0,2.0,7.0,15.0,13.0,0.0,0.0,1.0,0.0,3.0
118,2000-02-16,Haze,0.30731707317073176,0.0,0.0,0.40625,0.2835820895522394,0.0,0.0,19.8,0.0,0.0,0.06666666666666668,0.09027027027027028,2000.0,2.0,7.0,16.0,12.0,0.0,0.0,1.0,0.0,4.0
119,2000-02-17,Haze,0.3292682926829269,0.0,0.0,0.4843750000000001,0.27238805970149294,0.0,0.0,18.0,0.0,0.0,0.058333333333333334,0.05,2000.0,2.0,7.0,17.0,13.5,0.0,0.0,1.0,0.0,3.0
122,2000-02-18,Clear,0.3170731707317074,0.0,0.0,0.41666666666666674,0.28731343283582156,0.0,0.0,20.5,0.0,0.0,0.1,0.4756756756756757,2000.0,2.0,7.0,18.0,10.5,0.0,0.0,1.0,0.0,4.0
124,2000-02-19,Clear,0.2804878048780488,0.0,0.0,0.35416666666666674,0.2910447761194037,0.0,0.0,20.5,0.0,0.0,0.10833333333333334,0.1256756756756757,2000.0,2.0,7.0,19.0,11.0,0.0,0.0,1.0,0.0,4.0
126,2000-02-20,Haze,0.3170731707317074,0.0,0.0,0.4513888888888889,0.2835820895522391,0.0,0.0,18.666666666666668,0.0,0.0,0.043333333333333335,0.1846846846846847,2000.0,2.0,7.0,20.0,13.333333333333334,0.0,0.0,1.0,0.0,3.0
128,2000-02-21,Clear,0.34146341463414637,0.0,0.0,0.38541666666666674,0.29850746268656714,0.0,0.0,22.0,0.0,0.0,0.1,0.4,2000.0,2.0,8.0,21.0,10.0,0.0,0.0,1.0,0.0,5.0
