,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
831,2000-12-02,Smoke,0.16097560975609757,0.0,0.0,0.22083333333333335,0.3313432835820901,0.0,0.0,22.0,0.0,0.0,0.07333333333333333,0.4302702702702703,2000.0,12.0,48.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37928932188134523,0.9504983837549122,1.0,0.4999999999999999,0.9146278745490299,0.22055389457090963,0,3,19,19,15,5.0
835,2000-12-03,Haze,0.1829268292682927,0.0,0.0,0.203125,0.3339552238805976,0.0,0.0,23.75,0.0,0.0,0.06874999999999999,0.1635135135135135,2000.0,12.0,48.0,3.0,7.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3167592717138665,0.9423822514075069,1.0,0.4999999999999999,0.9146278745490299,0.22055389457090963,0,3,19,19,6,5.0
839,2000-12-04,Haze,0.21138211382113825,0.0,0.0,0.19444444444444445,0.2985074626865674,0.0,0.0,25.666666666666668,0.0,0.0,0.05555555555555556,0.4837837837837838,2000.0,12.0,49.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25567902895182204,0.9231763352100092,1.0,0.49999999999999983,0.944780054979666,0.2715850698049551,0,3,16,15,17,6.0
843,2000-12-05,Haze,0.2378048780487805,0.0,0.0,0.24739583333333331,0.2966417910447765,0.0,0.0,23.5,0.0,0.0,0.05416666666666667,0.3256756756756757,2000.0,12.0,49.0,5.0,7.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3167592717138665,0.9423822514075069,1.0,0.4999999999999999,0.944780054979666,0.2715850698049551,1,4,15,14,12,5.0
847,2000-12-06,Smoke,0.2829268292682927,0.0,0.0,0.29375,0.3029850746268659,0.0,0.0,23.4,0.0,0.0,0.043333333333333335,0.2902702702702703,2000.0,12.0,49.0,6.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37928932188134523,0.9504983837549122,1.0,0.4999999999999999,0.9447800549796661,0.2715850698049551,2,5,16,11,11,5.0
851,2000-12-07,Smoke,0.25365853658536586,0.0,0.0,0.2625,0.30149253731343306,0.0,0.0,23.8,0.0,0.0,0.04833333333333334,0.22054054054054056,2000.0,12.0,49.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37928932188134523,0.9504983837549122,1.0,0.4999999999999999,0.9447800549796661,0.2715850698049551,1,4,16,13,8,5.0
855,2000-12-08,Haze,0.29268292682926833,0.0,0.0,0.20833333333333334,0.2985074626865674,0.0,0.0,28.333333333333332,0.0,0.0,0.061111111111111116,0.13423423423423425,2000.0,12.0,49.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25567902895182204,0.9231763352100092,1.0,0.49999999999999983,0.944780054979666,0.2715850698049551,3,3,16,16,5,7.0
859,2000-12-09,Haze,0.2682926829268293,0.0,0.0,0.24479166666666663,0.2835820895522394,0.0,0.0,25.0,0.0,0.0,0.07083333333333333,0.4,2000.0,12.0,49.0,9.0,8.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1982233047033632,0.8932830462427466,1.0,0.4999999999999999,0.944780054979666,0.2715850698049551,2,4,14,19,14,6.0
863,2000-12-10,Smoke,0.33170731707317075,0.0,0.0,0.38125,0.3074626865671643,0.0,0.0,21.8,0.0,0.0,0.06666666666666667,0.2508108108108108,2000.0,12.0,49.0,10.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37928932188134523,0.9504983837549122,1.0,0.4999999999999999,0.9447800549796661,0.2715850698049551,4,7,17,18,9,4.0
867,2000-12-11,Haze,0.3008130081300813,0.0,0.0,0.33333333333333326,0.31343283582089576,0.0,0.0,22.0,0.0,0.0,0.061111111111111116,0.3666666666666667,2000.0,12.0,50.0,11.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3735301591495799,0.9719918716789179,1.0,0.49999999999999983,0.968682329452061,0.3258226899672376,3,6,17,16,13,5.0
