datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
2000-01-28,Clear,0.36585365853658536,0.0,0.0,0.48437499999999994,0.3208955223880601,0.0,0.0,19.5,0.0,0.0,0.1,0.42567567567567566,2000.0,1.0,4.0,28.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,5,10,18,19,15,4.0
2000-01-29,Haze,0.3211382113821138,0.0,0.0,0.48090277777777773,0.310945273631841,0.0,0.0,18.166666666666668,0.0,0.0,0.07222222222222223,0.4423423423423423,2000.0,1.0,4.0,29.0,12.5,0.0,0.0,1.0,0.0,0.0524158965555365,0.4410744349011211,0.9330127018922195,0.75,0.944780054979666,0.7284149301950444,4,10,17,19,16,3.0
2000-01-30,Clear,0.3292682926829269,0.0,0.0,0.359375,0.30597014925373145,0.0,0.0,22.5,0.0,0.0,0.10833333333333334,0.4,2000.0,1.0,4.0,30.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,4,7,16,19,14,5.0
2000-01-31,Smoke,0.4536585365853659,0.0,0.0,0.6708333333333333,0.2716417910447765,0.0,0.0,18.6,0.0,0.0,0.040333333333333346,0.6405405405405407,2000.0,1.0,5.0,31.0,13.0,0.0,0.0,1.0,0.0,0.04950161624508768,0.3792893218813454,0.9330127018922194,0.75,0.9146278745490302,0.7794461054290902,8,14,13,10,19,3.0
2000-02-01,Clear,0.48780487804878053,0.0,0.0,0.875,0.2686567164179108,0.0,0.0,16.0,0.0,0.0,0.016666666666666666,0.0,2000.0,2.0,5.0,1.0,15.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672644,0.75,0.9330127018922193,0.91462787454903,0.7794461054290902,9,19,12,3,1,3.0
2000-02-02,Haze,0.5121951219512195,0.0,0.0,0.8229166666666666,0.29850746268656714,0.0,0.0,18.0,0.0,0.0,0.05,0.2,2000.0,2.0,5.0,2.0,13.0,0.0,0.0,1.0,0.0,0.017037086855465844,0.37059047744873963,0.75,0.9330127018922193,0.91462787454903,0.7794461054290902,10,18,16,13,7,3.0
2000-02-03,Haze,0.47154471544715454,0.0,0.0,0.6840277777777777,0.30597014925373145,0.0,0.0,19.0,0.0,0.0,0.06388888888888888,0.20090090090090093,2000.0,2.0,5.0,3.0,13.0,0.0,0.0,1.0,0.0,0.028008128321082144,0.37353015914957993,0.75,0.9330127018922193,0.91462787454903,0.7794461054290901,9,14,16,17,7,4.0
2000-02-04,Haze,0.4634146341463415,0.0,0.0,0.5833333333333334,0.25373134328358216,0.0,0.0,21.0,0.0,0.0,0.058333333333333334,0.3756756756756757,2000.0,2.0,5.0,4.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.75,0.9330127018922193,0.91462787454903,0.7794461054290902,9,12,11,16,14,4.0
2000-02-05,Haze,0.39837398373983746,0.0,0.0,0.7951388888888888,0.27114427860696555,0.0,0.0,13.666666666666666,0.0,0.0,0.05000000000000001,0.4837837837837838,2000.0,2.0,5.0,5.0,11.0,0.0,0.0,1.0,0.0,0.028008128321082182,0.6264698408504201,0.75,0.9330127018922193,0.91462787454903,0.7794461054290901,6,17,13,13,17,2.0
2000-02-06,Clear,0.41463414634146345,0.0,0.0,0.8125,0.30597014925373145,0.0,0.0,14.0,0.0,0.0,0.03333333333333333,0.2513513513513514,2000.0,2.0,5.0,6.0,15.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672644,0.75,0.9330127018922193,0.91462787454903,0.7794461054290902,7,17,16,8,9,2.0
2000-02-07,Haze,0.4390243902439025,0.0,0.0,0.7604166666666666,0.3022388059701493,0.0,0.0,16.0,0.0,0.0,0.07083333333333333,0.3,2000.0,2.0,6.0,7.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,8,16,16,19,11,3.0
2000-02-08,Fog,0.4390243902439025,1.0,0.0,0.9999999999999999,0.30597014925373145,0.0,0.0,12.0,0.0,0.0,0.006666666666666667,0.0,2000.0,2.0,6.0,8.0,15.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672644,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,8,19,16,0,1,1.0
2000-02-09,Haze,0.39634146341463417,0.0,0.0,0.5807291666666666,0.2910447761194035,0.0,0.0,18.25,0.0,0.0,0.05208333333333333,0.1,2000.0,2.0,6.0,9.0,12.0,0.0,0.0,1.0,0.0,0.042012192481623245,0.5,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,6,12,15,14,4,3.0
2000-02-10,Light Rain,0.48780487804878053,0.0,0.0,0.9166666666666666,0.27860696517412986,1.0,0.0,15.333333333333334,0.0,0.0,0.030000000000000002,0.06666666666666667,2000.0,2.0,6.0,10.0,13.0,0.0,0.0,1.0,0.0,0.09347373520742909,0.38214886980224216,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,9,19,13,7,3,2.0
2000-02-11,Haze,0.426829268292683,0.0,0.0,0.8125,0.2761194029850751,0.0,0.0,14.5,0.0,0.0,0.039999999999999994,0.0,2000.0,2.0,6.0,11.0,12.0,0.0,0.0,1.0,0.0,0.06698729810778062,0.5,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,7,17,13,10,1,2.0
2000-02-12,Clear,0.34146341463414637,0.0,0.0,0.53125,0.31343283582089576,0.0,0.0,17.0,0.0,0.0,0.075,0.35135135135135137,2000.0,2.0,6.0,12.0,10.0,0.0,0.0,1.0,0.0,0.06698729810778065,0.75,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,4,11,17,19,13,3.0
2000-02-13,Haze,0.3658536585365854,0.0,0.0,0.7430555555555555,0.3208955223880601,0.0,0.0,13.333333333333334,0.0,0.0,0.05722222222222222,0.20090090090090093,2000.0,2.0,6.0,13.0,14.0,0.0,0.0,1.0,0.0,0.07682366478999082,0.25567902895182204,0.75,0.9330127018922193,0.8786490586790042,0.8265544698963292,5,16,18,15,7,2.0
2000-02-14,Haze,0.34146341463414637,0.0,0.0,0.5590277777777778,0.32213930348258746,0.0,0.0,16.666666666666668,0.0,0.0,0.06444444444444444,0.209009009009009,2000.0,2.0,7.0,14.0,12.5,0.0,0.0,1.0,0.0,0.0524158965555365,0.4410744349011211,0.75,0.9330127018922193,0.8373486710778669,0.86907872542245,4,11,18,17,8,3.0
2000-02-15,Haze,0.4,0.0,0.0,0.5895833333333333,0.30149253731343284,0.0,0.0,18.4,0.0,0.0,0.05366666666666666,0.12054054054054056,2000.0,2.0,7.0,15.0,13.0,0.0,0.0,1.0,0.0,0.04950161624508768,0.3792893218813454,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224499,6,12,16,14,5,3.0
2000-02-16,Haze,0.30731707317073176,0.0,0.0,0.40625,0.2835820895522394,0.0,0.0,19.8,0.0,0.0,0.06666666666666668,0.09027027027027028,2000.0,2.0,7.0,16.0,12.0,0.0,0.0,1.0,0.0,0.0336097539852986,0.5,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224499,3,8,14,18,4,4.0
2000-02-17,Haze,0.3292682926829269,0.0,0.0,0.484375,0.27238805970149294,0.0,0.0,18.0,0.0,0.0,0.058333333333333334,0.05,2000.0,2.0,7.0,17.0,13.5,0.0,0.0,1.0,0.0,0.04201219248162322,0.31029523872436987,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224499,4,10,13,16,2,3.0
2000-02-18,Clear,0.3170731707317074,0.0,0.0,0.4166666666666667,0.28731343283582156,0.0,0.0,20.5,0.0,0.0,0.1,0.4756756756756757,2000.0,2.0,7.0,18.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224499,3,8,14,19,17,4.0
2000-02-19,Clear,0.2804878048780488,0.0,0.0,0.35416666666666663,0.2910447761194037,0.0,0.0,20.5,0.0,0.0,0.10833333333333334,0.1256756756756757,2000.0,2.0,7.0,19.0,11.0,0.0,0.0,1.0,0.0,0.03349364905389032,0.625,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224499,2,7,15,19,5,4.0
2000-02-20,Haze,0.3170731707317074,0.0,0.0,0.45138888888888884,0.2835820895522391,0.0,0.0,18.666666666666668,0.0,0.0,0.043333333333333335,0.1846846846846847,2000.0,2.0,7.0,20.0,13.333333333333334,0.0,0.0,1.0,0.0,0.07682366478999085,0.3419520439859957,0.75,0.9330127018922193,0.8373486710778669,0.8690787254224498,3,9,14,11,7,3.0
2000-02-21,Clear,0.34146341463414637,0.0,0.0,0.38541666666666663,0.29850746268656714,0.0,0.0,22.0,0.0,0.0,0.1,0.4,2000.0,2.0,8.0,21.0,10.0,0.0,0.0,1.0,0.0,0.06698729810778065,0.75,0.75,0.9330127018922193,0.7913064786559719,0.9064219246741829,4,7,16,19,14,5.0
